experiment,split_scheme,accuracy,precision,recall,f1
multiclass_baseline,"(0.7, 0.15, 0.15)",0.9565217391304348,0.9629629629629629,0.9583333333333334,0.9581699346405229
multiclass_random_oversample,"(0.7, 0.15, 0.15)",0.9565217391304348,0.9629629629629629,0.9583333333333334,0.9581699346405229
multiclass_smote_k1,"(0.7, 0.15, 0.15)",0.9565217391304348,0.9629629629629629,0.9583333333333334,0.9581699346405229
multiclass_smote_k2,"(0.7, 0.15, 0.15)",0.9565217391304348,0.9629629629629629,0.9583333333333334,0.9581699346405229
ovr_baseline_class=setosa,"(0.7, 0.15, 0.15)",1.0,1.0,1.0,1.0
ovr_baseline_class=versicolor,"(0.7, 0.15, 0.15)",0.782608695652174,0.8,0.5,0.6153846153846154
ovr_baseline_class=virginica,"(0.7, 0.15, 0.15)",0.8260869565217391,0.7,0.875,0.7777777777777778
ovr_random_oversample_class=setosa,"(0.7, 0.15, 0.15)",1.0,1.0,1.0,1.0
ovr_random_oversample_class=versicolor,"(0.7, 0.15, 0.15)",0.782608695652174,0.7142857142857143,0.625,0.6666666666666666
ovr_random_oversample_class=virginica,"(0.7, 0.15, 0.15)",0.8260869565217391,0.7,0.875,0.7777777777777778
ovr_smote_k1_class=setosa,"(0.7, 0.15, 0.15)",1.0,1.0,1.0,1.0
ovr_smote_k1_class=versicolor,"(0.7, 0.15, 0.15)",0.782608695652174,0.7142857142857143,0.625,0.6666666666666666
ovr_smote_k1_class=virginica,"(0.7, 0.15, 0.15)",0.8260869565217391,0.7,0.875,0.7777777777777778
ovr_smote_k2_class=setosa,"(0.7, 0.15, 0.15)",1.0,1.0,1.0,1.0
ovr_smote_k2_class=versicolor,"(0.7, 0.15, 0.15)",0.782608695652174,0.7142857142857143,0.625,0.6666666666666666
ovr_smote_k2_class=virginica,"(0.7, 0.15, 0.15)",0.8260869565217391,0.7,0.875,0.7777777777777778
multiclass_baseline,"(0.8, 0.1, 0.1)",1.0,1.0,1.0,1.0
multiclass_random_oversample,"(0.8, 0.1, 0.1)",1.0,1.0,1.0,1.0
multiclass_smote_k1,"(0.8, 0.1, 0.1)",1.0,1.0,1.0,1.0
multiclass_smote_k2,"(0.8, 0.1, 0.1)",1.0,1.0,1.0,1.0
ovr_baseline_class=setosa,"(0.8, 0.1, 0.1)",1.0,1.0,1.0,1.0
ovr_baseline_class=versicolor,"(0.8, 0.1, 0.1)",0.7333333333333333,0.6666666666666666,0.4,0.5
ovr_baseline_class=virginica,"(0.8, 0.1, 0.1)",0.8,0.6666666666666666,0.8,0.7272727272727273
ovr_random_oversample_class=setosa,"(0.8, 0.1, 0.1)",1.0,1.0,1.0,1.0
ovr_random_oversample_class=versicolor,"(0.8, 0.1, 0.1)",0.7333333333333333,0.6666666666666666,0.4,0.5
ovr_random_oversample_class=virginica,"(0.8, 0.1, 0.1)",0.8,0.6666666666666666,0.8,0.7272727272727273
ovr_smote_k1_class=setosa,"(0.8, 0.1, 0.1)",1.0,1.0,1.0,1.0
ovr_smote_k1_class=versicolor,"(0.8, 0.1, 0.1)",0.7333333333333333,0.6666666666666666,0.4,0.5
ovr_smote_k1_class=virginica,"(0.8, 0.1, 0.1)",0.8,0.6666666666666666,0.8,0.7272727272727273
ovr_smote_k2_class=setosa,"(0.8, 0.1, 0.1)",1.0,1.0,1.0,1.0
ovr_smote_k2_class=versicolor,"(0.8, 0.1, 0.1)",0.7333333333333333,0.6666666666666666,0.4,0.5
ovr_smote_k2_class=virginica,"(0.8, 0.1, 0.1)",0.8,0.6666666666666666,0.8,0.7272727272727273
